Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades 
28-10-2021,EQ,817,983,810,"4,130.15",923,913.5,925.41,"6,396.30",810,59298778,"54,87,59,31,755.65",1928611
29-10-2021,EQ,822.15,906.45,639.45,913.5,842.8,845.7,803.28,"6,396.30",639.45,82848030,"66,55,04,41,966.50",2259771
01-11-2021,EQ,874.2,885,809.25,845.7,856,855.45,845.02,"6,396.30",639.45,29989312,"25,34,15,24,475.55",902975
02-11-2021,EQ,868.4,868.8,844.25,855.45,846.5,848.2,853.83,"6,396.30",639.45,9742650,"8,31,85,99,198.20",308817
03-11-2021,EQ,840,848.9,815.1,848.2,819.25,819.85,829.88,"6,396.30",639.45,10088006,"8,37,18,62,868.90",338884
04-11-2021,EQ,828.25,828.25,820,819.85,822,822.25,823.67,"6,396.30",639.45,2229843,"1,83,66,61,983.60",132880
08-11-2021,EQ,819,840,779.85,822.25,832.4,832.85,824.22,"6,396.30",639.45,11974709,"9,86,97,68,136.80",372900
09-11-2021,EQ,835,858,834,832.85,857.5,856,849.52,"6,396.30",639.45,9656004,"8,20,29,51,300.25",254350
10-11-2021,EQ,856,866,847,856,849.9,849.85,855.55,"6,396.30",639.45,6275409,"5,36,89,06,876.85",183996
11-11-2021,EQ,849,856,835,849.85,853,847.3,845.13,"6,396.30",639.45,4924717,"4,16,20,08,793.30",155640
12-11-2021,EQ,853,876,847,847.3,865,864.85,862.67,"6,396.30",639.45,9255302,"7,98,42,93,017.50",231605
15-11-2021,EQ,877.95,923,869,864.85,908,903.4,906.36,"6,396.30",639.45,21402501,"19,39,83,25,587.90",521896
16-11-2021,EQ,915.8,929,911.35,903.4,920.35,921.05,921.09,"6,396.30",639.45,9298944,"8,56,52,00,849.00",251460
17-11-2021,EQ,925,928.7,900.1,921.05,902.85,903.6,910.1,"6,396.30",639.45,7189458,"6,54,31,31,230.05",242672
18-11-2021,EQ,903.5,905.9,871.1,903.6,892.2,890.65,886.37,"6,396.30",639.45,7714073,"6,83,74,84,445.60",250691
22-11-2021,EQ,912,919.7,872.35,890.65,888.8,886.75,895.5,"6,396.30",639.45,11376478,"10,18,76,28,264.45",335137
23-11-2021,EQ,877,897.6,872.6,886.75,894.9,892.8,889.02,"6,396.30",639.45,6078636,"5,40,40,58,595.90",171306
24-11-2021,EQ,898,901.7,853.1,892.8,862,862.8,880.79,"6,396.30",639.45,7679846,"6,76,43,60,722.60",227911
25-11-2021,EQ,863,874.5,835.65,862.8,862.5,865.55,852.82,"6,396.30",639.45,9169669,"7,82,00,37,651.00",260928
26-11-2021,EQ,849,854.95,820,865.55,822.3,823.05,836.31,"6,396.30",639.45,10211011,"8,53,95,98,189.05",372118
29-11-2021,EQ,786,801,750.55,823.05,776.25,775.8,781.65,"6,396.30",639.45,13888743,"10,85,60,67,033.70",485110
30-11-2021,EQ,790.3,819.9,787.6,775.8,798.8,795.15,798.64,"6,396.30",639.45,37176726,"29,69,08,67,859.10",402139
01-12-2021,EQ,809,817,796.35,795.15,815,811.95,806.14,"6,396.30",639.45,6448797,"5,19,86,13,259.50",160741
02-12-2021,EQ,815.25,825,803,811.95,823.5,821.25,812.53,"6,396.30",639.45,4869021,"3,95,62,28,476.50",122710
03-12-2021,EQ,819,831.45,810,821.25,819.1,819.9,821.93,"6,396.30",639.45,4777395,"3,92,66,72,679.20",120039
06-12-2021,EQ,815,819.5,798.2,819.9,799.95,801.4,809.87,"6,396.30",639.45,4473930,"3,62,33,19,283.05",125738
07-12-2021,EQ,809.95,829.8,807,801.4,823.55,823.05,818.45,"6,396.30",639.45,4528051,"3,70,59,81,454.90",106886
08-12-2021,EQ,830.5,856.7,829.05,823.05,853.6,851.4,848.17,"6,396.30",639.45,7190775,"6,09,89,79,619.80",173391
09-12-2021,EQ,856,863,841.55,851.4,855.85,856.85,854.29,"6,396.30",639.45,5118754,"4,37,29,24,791.65",114670
10-12-2021,EQ,851,869.95,850,856.85,855.2,857.95,860.3,"6,396.30",639.45,4358630,"3,74,97,40,362.55",105156
13-12-2021,EQ,862.5,878.2,856.25,857.95,859,858.7,867.6,"6,396.30",639.45,4485978,"3,89,20,20,892.65",107118
14-12-2021,EQ,860,860,843,858.7,857,855.05,851.3,"6,396.30",639.45,3374432,"2,87,26,38,664.65",91538
15-12-2021,EQ,851.2,867.4,848,855.05,851,851.2,856.03,"6,396.30",639.45,2762485,"2,36,47,69,300.35",72430
16-12-2021,EQ,857.05,860.8,841.35,851.2,853.5,852.15,849.88,"6,396.30",639.45,2918474,"2,48,03,60,944.90",68211
17-12-2021,EQ,850,851.9,825.45,852.15,831,832.4,834.94,"6,396.30",639.45,4227183,"3,52,94,36,334.45",115508
20-12-2021,EQ,807,825.7,780.7,832.4,792.6,794.1,794,"6,396.30",639.45,7418777,"5,89,05,34,342.20",269284
21-12-2021,EQ,805,818.85,800,794.1,815,814.75,810.45,"6,396.30",639.45,3613582,"2,92,86,24,070.70",88733
22-12-2021,EQ,820,842.6,819,814.75,841.5,839.75,830,"6,396.30",639.45,3721795,"3,08,90,72,486.25",88983
23-12-2021,EQ,846.7,847.35,834.2,839.75,841.3,841.35,841.29,"6,396.30",639.45,2917612,"2,45,45,61,013.50",63682
24-12-2021,EQ,841,842.8,828.5,841.35,837.2,837.2,835.9,"6,396.30",639.45,2502607,"2,09,19,19,185.10",54948
27-12-2021,EQ,823,840,823,837.2,838.7,839,833.31,"6,396.30",639.45,2640676,"2,20,05,01,787.50",65900
28-12-2021,EQ,840.7,876.6,840.55,839,862.65,863.5,865.13,"6,396.30",639.45,8220616,"7,11,18,65,068.00",174005
29-12-2021,EQ,859.45,864,847,863.5,848.2,849.35,853.63,"6,396.30",639.45,3670117,"3,13,29,04,906.90",87820
30-12-2021,EQ,846.7,847.8,831.1,849.35,833.5,833,837.39,"6,396.30",639.45,3488161,"2,92,09,66,485.65",82711
31-12-2021,EQ,834.9,840,829.15,833,831.4,831.75,833.88,"6,396.30",639.45,2712460,"2,26,18,72,948.55",72688
03-01-2022,EQ,831.9,850,830.35,831.75,845.9,845.65,840.03,"6,396.30",639.45,3501695,"2,94,15,23,121.35",81184
04-01-2022,EQ,850,853.7,843.3,845.65,847.8,848.05,849.6,"6,396.30",639.45,2496924,"2,12,13,94,269.80",59197
05-01-2022,EQ,845,847.1,828,848.05,840.45,840.6,837.22,"6,396.30",639.45,3312721,"2,77,34,87,785.50",85868
06-01-2022,EQ,825,847.9,825,840.6,843.1,843.25,837.6,"6,396.30",639.45,2842824,"2,38,11,44,376.75",80886
07-01-2022,EQ,843.25,888,842.45,843.25,860.5,860.95,872.13,"6,396.30",639.45,12254034,"10,68,71,48,687.65",261202
10-01-2022,EQ,862.5,878.75,862.5,860.95,874,873.45,871.72,"6,396.30",639.45,4778546,"4,16,55,56,387.30",138868
11-01-2022,EQ,875,883,859.15,873.45,861.3,862.4,872.77,"6,396.30",639.45,3257687,"2,84,32,18,476.60",98066
12-01-2022,EQ,868.8,869.4,848.25,862.4,860.7,861.25,858.86,"6,396.30",639.45,3419540,"2,93,69,11,595.05",90779
13-01-2022,EQ,861.25,874,853.05,861.25,866.3,868.15,865.69,"6,396.30",639.45,3384510,"2,92,99,31,190.25",94226
14-01-2022,EQ,863.9,908,856.7,868.15,905,902.7,896.94,"6,396.30",639.45,14072932,"12,62,25,99,788.95",321407
17-01-2022,EQ,910,918.65,891.25,902.7,894.5,897.35,906.13,"6,396.30",639.45,6834869,"6,19,32,57,199.35",166612
18-01-2022,EQ,899.9,904.2,855.9,897.35,864,861.1,876.6,"6,396.30",639.45,5857768,"5,13,49,23,406.05",182707
19-01-2022,EQ,863.5,877.95,850.3,861.1,875.75,875.95,864.76,"6,396.30",639.45,4437914,"3,83,77,17,036.50",111023
20-01-2022,EQ,875.75,885,865.65,875.95,879,880.4,877.12,"6,396.30",639.45,3262969,"2,86,20,14,917.90",83499
21-01-2022,EQ,873,881,855,880.4,863,861.7,867.67,"6,396.30",639.45,3915909,"3,39,77,00,187.85",110211
24-01-2022,EQ,859.5,860.15,805,861.7,810,809.8,822.35,"6,396.30",639.45,7654105,"6,29,43,60,365.90",294831
25-01-2022,EQ,809,833,784.8,809.8,828,829.9,816.52,"6,396.30",639.45,5090144,"4,15,62,08,357.50",155470
27-01-2022,EQ,818.6,824.4,803,829.9,815,813.8,811.97,"6,396.30",639.45,4740612,"3,84,92,13,803.90",157350
28-01-2022,EQ,825.75,860,817,813.8,845,844.6,847.18,"6,396.30",639.45,5541007,"4,69,42,33,329.15",132533
31-01-2022,EQ,855,880.95,849.6,844.6,869,868,870.28,"6,396.30",639.45,4650001,"4,04,68,01,916.10",113714
01-02-2022,EQ,894.6,899.9,848.6,868,855.65,856.9,874.46,"6,396.30",639.45,11012459,"9,62,99,21,795.75",266196
02-02-2022,EQ,863,868,857,856.9,860.5,860.9,862.4,"6,396.30",639.45,2531086,"2,18,28,01,747.70",72839
03-02-2022,EQ,860.5,871.85,857,860.9,859.5,860.65,865.09,"6,396.30",639.45,2603770,"2,25,24,90,915.50",70447
04-02-2022,EQ,861,865.5,851.25,860.65,855,855.75,857.8,"6,396.30",639.45,2105561,"1,80,61,42,920.35",60856
07-02-2022,EQ,858.75,868.55,830,855.75,836,835.6,843.56,"6,396.30",639.45,4119747,"3,47,52,55,369.55",119511
08-02-2022,EQ,842.5,848.6,821.5,835.6,838.75,838.05,836.21,"6,396.30",639.45,3851680,"3,22,07,94,212.05",100550
09-02-2022,EQ,859,868.4,845.1,838.05,850.5,849.95,853.76,"6,396.30",639.45,6791815,"5,79,86,08,443.55",148381
10-02-2022,EQ,855,855.15,840.3,849.95,845.75,845.9,846.25,"6,396.30",639.45,2569073,"2,17,40,74,470.40",70970
11-02-2022,EQ,835.5,841.95,825,845.9,832,830.75,834.46,"6,396.30",639.45,2582020,"2,15,45,91,531.75",86584
14-02-2022,EQ,819.5,819.95,792.35,830.75,794.9,798.35,808.56,"6,396.30",639.45,4917765,"3,97,63,17,515.10",196760
15-02-2022,EQ,805,823,791.5,798.35,822.95,820.5,808.36,"6,396.30",639.45,4358562,"3,52,32,99,879.85",124391
16-02-2022,EQ,830.8,838,820.2,820.5,823,825,829.42,"6,396.30",639.45,2883449,"2,39,16,04,532.50",71496
17-02-2022,EQ,829.95,834,820,825,821.45,821.85,827.27,"6,396.30",639.45,2350333,"1,94,43,62,366.30",59030
18-02-2022,EQ,818,827.3,813.05,821.85,815.7,816.35,820.69,"6,396.30",639.45,1905006,"1,56,34,19,803.25",47610
21-02-2022,EQ,810,816,796,816.35,804.4,803.4,805.7,"6,396.30",639.45,3000870,"2,41,78,08,111.75",98586
22-02-2022,EQ,781,799.35,780,803.4,789.05,789.6,790.06,"6,396.30",639.45,4301060,"3,39,80,81,856.95",166574
23-02-2022,EQ,799.9,819,795,789.6,812.05,814.35,810.56,"6,396.30",639.45,4772916,"3,86,87,47,415.30",94191
24-02-2022,EQ,775,794.35,735,814.35,739.55,738.05,763.78,"6,396.30",639.45,10021435,"7,65,41,78,370.45",437643
25-02-2022,EQ,770,803.5,768,738.05,800,800,791.64,"6,396.30",639.45,7097351,"5,61,85,42,502.55",171627
28-02-2022,EQ,780.3,812,780.2,800,809.2,809.35,798.26,"6,396.30",639.45,4654745,"3,71,56,92,488.35",112434
02-03-2022,EQ,795,815.8,795,809.35,809.1,808.8,807.54,"6,396.30",639.45,3010826,"2,43,13,54,880.80",81521
03-03-2022,EQ,822,822,796.85,808.8,801,799.65,807.77,"6,396.30",639.45,2962409,"2,39,29,50,216.10",78908
04-03-2022,EQ,780,780.2,730,799.65,747.8,747.25,752.65,"6,396.30",639.45,15395743,"11,58,76,53,881.90",437146
07-03-2022,EQ,740,740,708.4,747.25,720,718,719.39,"6,396.30",639.45,6257302,"4,50,14,27,160.55",251293
08-03-2022,EQ,718,728.95,709.05,718,716.95,718.05,718.13,"6,396.30",639.45,4872109,"3,49,87,83,470.95",148675
09-03-2022,EQ,730.95,738.6,719.05,718.05,737,735.05,729.73,"6,396.30",639.45,4485413,"3,27,31,43,711.75",133547
10-03-2022,EQ,762,772,750,735.05,751,758.1,761.84,"6,396.30",639.45,5542997,"4,22,28,75,303.60",146283
11-03-2022,EQ,754.3,765,748,758.1,757.15,757.75,757.58,"6,396.30",639.45,2461743,"1,86,49,56,392.65",67865
14-03-2022,EQ,743,762.85,738.55,757.75,752.9,752.85,751.96,"6,396.30",639.45,3574348,"2,68,77,78,185.70",107731
15-03-2022,EQ,759,769.9,751.05,752.85,755.5,756.4,761.5,"6,396.30",639.45,3053279,"2,32,50,73,942.45",81913
16-03-2022,EQ,768,773.6,764.4,756.4,767.15,768.25,768.05,"6,396.30",639.45,2456680,"1,88,68,45,676.45",65574
17-03-2022,EQ,776.25,779.6,767.15,768.25,770,770.45,773.77,"6,396.30",639.45,2471381,"1,91,22,71,509.55",69762
21-03-2022,EQ,773.05,782.7,768,770.45,769.5,770.75,774.1,"6,396.30",639.45,2165538,"1,67,63,34,821.35",59548
22-03-2022,EQ,774,774,752.1,770.75,767.95,765.8,761.4,"6,396.30",639.45,2670547,"2,03,33,66,842.70",73773
23-03-2022,EQ,772,785.6,763,765.8,766,766.45,774.08,"6,396.30",639.45,3000265,"2,32,24,55,501.90",71631
24-03-2022,EQ,766.4,779.4,760.3,766.45,771,772.5,770.44,"6,396.30",639.45,1803315,"1,38,93,53,896.75",46983
25-03-2022,EQ,779,779.25,768,772.5,769.95,770.05,773.68,"6,396.30",639.45,1756340,"1,35,88,43,624.05",46465
28-03-2022,EQ,771,776.95,758.6,770.05,766,766.25,768.34,"6,396.30",639.45,2500762,"1,92,14,29,958.65",52670
29-03-2022,EQ,769,775.75,766,766.25,767,767.6,770.13,"6,396.30",639.45,2496305,"1,92,24,76,718.50",48269
30-03-2022,EQ,773,795,769,767.6,787,789.55,786.27,"6,396.30",639.45,5002096,"3,93,29,86,474.35",109822
31-03-2022,EQ,791.05,792.75,773,789.55,777,774.7,780.79,"6,396.30",639.45,2496423,"1,94,91,79,989.80",65436
01-04-2022,EQ,777,802.65,775.55,774.7,797.75,798.2,792.74,"6,396.30",639.45,4160527,"3,29,82,27,660.25",94790
04-04-2022,EQ,803.95,837.7,803,798.2,834,832.7,817.79,"6,396.30",639.45,5650502,"4,62,09,32,860.60",142867
05-04-2022,EQ,840.85,840.95,819.45,832.7,822,822.35,828.63,"6,396.30",639.45,3480544,"2,88,40,87,721.70",87143
06-04-2022,EQ,820,828.95,787.75,822.35,795.85,791.95,806.09,"6,396.30",639.45,5400080,"4,35,29,33,585.90",135583
07-04-2022,EQ,795.85,801,784,791.95,788.65,787.75,791.85,"6,396.30",639.45,3337181,"2,64,25,35,016.15",89725
08-04-2022,EQ,791.85,799.8,789.05,787.75,791.15,790.35,793.52,"6,396.30",639.45,1715933,"1,36,16,19,105.90",51495
